committees_nov8.com_nam,committees_nov8.com_id,filings_nov8.can_id
BETO O'ROURKE FOR CONGRESS,C00501197,H2TX16185
BETTY SUTTON FOR CONGRESS,C00417816,H6OH13133
BIELAT FOR CONGRESS 2012,C00510065,H0MA04127
BILIRAKIS FOR CONGRESS,C00408534,H6FL09070
BILL CASSIDY FOR CONGRESS,C00451807,H8LA00017
BILL FLORES FOR CONGRESS,C00472241,H0TX17104
BILL FOSTER FOR CONGRESS COMMITTEE,C00435099,H8IL14067
BILL GAYLOR FOR US SENATE,C00511469,S2FL00359
BILL NELSON FOR U S SENATE,C00344051,S8FL00166
BILL OWENS FOR CONGRESS,C00464495,H0NY23081
BILL SHUSTER FOR CONGRESS,C00364935,H2PA09035
BILLY LONG FOR CONGRESS,C00460063,H0MO07113
BLAINE FOR CONGRESS 2012,C00458679,H8MO09153
BLOOMFIELD FOR CONGRESS,C00516641,H2CA33147
BLUMENAUER FOR CONGRESS,C00307314,H6OR03064
BOB BRADY FOR CONGRESS,C00333740,H8PA01153
BOB CASEY FOR SENATE INC,C00431056,S6PA00217
BOB CORKER FOR SENATE 2012,C00430462,S6TN00216
BOB DUTTON FOR CONGRESS,C00509836,H2CA31133
BOB FLORES FOR CONGRESS,C00518613,H2CA43385
BOB GOODLATTE FOR CONGRESS COMMITTEE,C00257956,H2VA06115
BOBBIE ROSE FOR CONGRESS,C00514968,H2SC01069
BOBBY SCHILLING FOR CONGRESS,C00459354,H0IL17059
BOBBY SCOTT FOR CONGRESS,C00256925,H6VA01117
BOLAND FOR CONGRESS,C00508812,H2WI03080
BONAMICI FOR CONGRESS,C00500421,H2OR01133
BONGINO FOR SENATE,C00498089,S2MD00370
BOOCKVAR FOR CONGRESS,C00509406,H2PA08102
BOSWELL FOR CONGRESS,C00316661,H6IA03144
BOYD FOR CONGRESS 3,C00513648,H6IN00027
BRAD BOOKOUT FOR CONGRESS,C00501411,H2IN06213
BRAD MORRIS FOR CONGRESS,C00513788,H2MS01098
BRADSHAW FOR CONGRESS,C00527952,H2IL12130
BRADY FOR CONGRESS,C00311043,H6TX08100
BRALEY FOR CONGRESS,C00409441,H6IA01098
BRIAN BILBRAY FOR CONGRESS,C00300830,H4CA49032
BRIAN HIGGINS FOR CONGRESS,C00401034,H4NY27076
BROOKS 4 CONGRESS 2012,C00526236,H2MI08139
BROSCH FOR CONGRESS,C00506352,H2NC12179
BRUCE MAJORS FOR CONGRESS,C00528778,H2DC00096
BUCK MCKEON FOR CONGRESS,C00258244,H2CA25036
BUCSHON FOR CONGRESS,C00468256,H0IN08114
BUTTERFIELD FOR CONGRESS,C00401190,H4NC01046
BYBERG FOR CONGRESS,C00474452,H0MN07059
CALEB TROTTER FOR CONGRESS,C00530733,H2LA02123
CAMPAIGN TO ELECT TAWANA W CADIEN FOR CONGRESS; THE,C00523902,H2TX10113
CAMPOS FOR CONGRESS,C00513721,H2CA38237
CANDACE DUVAL FOR CONGRESS,C00510834,H2TX21086
CANDICE MILLER FOR CONGRESS,C00365593,H6MI12181
CANSECO FOR CONGRESS,C00394353,H4TX28046
CANTOR FOR CONGRESS,C00355461,H0VA07042
CAPUANO FOR CONGRESS COMMITTEE,C00336388,H8MA08071
CARGAS FOR CONGRESS,C00509299,H2TX07036
CARLOS MAY 2012,C00513119,H0IN07157
CARLOS MAY FOR CONGRESS,C00465120,H0IN07157
CARMONA FOR ARIZONA,C00506022,S2AZ00232
CAROL SHEA-PORTER FOR CONGRESS,C00419978,H6NH01230
CARPER FOR SENATE,C00349217,S8DE00079
CARTWRIGHT FOR CONGRESS,C00509968,H2PA17079
CARVIN 2012,C00515601,S2NY00267
CARVIN 2012,C00515601,S2NY00267
CASSANDRA SHOBER FOR CONGRESS,C00519165,H2NJ02144
CASTLE CAMPAIGN FUND,C00254938,H2DE00072
CASTOR FOR CONGRESS,C00410761,H6FL11126
CASTRO FOR CONGRESS,C00497933,H2TX35011
CATHY MCMORRIS RODGERS FOR CONGRESS,C00390476,H4WA05077
CESAR HENAO FOR CONGRESS COMMITTEE,C00521534,H2FL19094
"CHAD LEE FOR CONGRESS,INC.",C00513226,H0WI02060
CHAD WILBANKS FOR CONGRESS,C00501155,H2TX25236
"CHARLES BOUSTANY JR. MD FOR CONGRESS, INC.",C00394866,H4LA07029
CHARLES DUMAS FOR CONGRESS,C00514836,H2PA05058
CHARLES LUKENS FOR CONGRESS,C00522920,H2NJ02151
CHARLES MALONE FOR CONGRESS,C00522029,H2NC13144
CHARLIE DENT FOR CONGRESS,C00386847,H4PA15087
CHIVUKULA FOR CONGRESS,C00415828,H6NJ06187
CHRIS EDWARDS FOR CONGRESS,C00511667,H2NV01207
CHRIS FIELDS FOR CONGRESS,C00500918,H2MN05133
CHRIS GIBSON FOR CONGRESS,C00477984,H0NY20095
CHRISTIE VILSACK FOR IOWA,C00495598,H2IA04117
CHRISTOPHER R WIGHT FOR CONGRESS,C00518670,H2NY12155
"CHUCK FLEISCHMANN FOR CONGRESS COMMITTEE, INC.",C00461822,H0TN03254
CICILLINE COMMITTEE,C00476564,H0RI01073
CITIZENS FOR CHRIS LONG,C00517441,H2OH03141
CITIZENS FOR ELEANOR HOLMES NORTON,C00244335,H0DC00058
CITIZENS FOR JOE KENNEDY 1988,C00222455,H6MA08141
CITIZENS FOR JOSH MANDEL,C00494930,S2OH00170
CITIZENS FOR RAY LODATO,C00503672,H2IL01158
CITIZENS FOR RICHARD L GRABOWSKI,C00506923,H2IL03121
CITIZENS FOR RUSH,C00257121,H2IL01042
CITIZENS FOR TOM PETRI,C00107003,H0WI06061
CITIZENS FOR TURNER,C00373001,H2OH03067
CITIZENS FOR WATERS,C00167585,H4CA23011
CITIZENS TO ELECT JACK RUSHIN TO CONGRESS,C00522003,H2MO08075
CITIZENS TO ELECT PHIL ROE TO CONGRESS,C00444471,H6TN01388
CITIZENS TO ELECT RICK LARSEN,C00345546,H0WA02080
CITIZENS TO ELECT ROSIE 4 CONGRESS,C00447904,H8AS00052
CITIZENS TO ELECT SOREN SIMONSEN,C00524629,H2UT03249
CITIZENS TO ELECT SUE THORN CONGRESS 2012,C00504399,H2WV01094
CLARKE FOR CONGRESS,C00415331,H4NY11138
CLAY JR. FOR CONGRESS,C00346080,H0MO01066
CLEAVER FOR CONGRESS,C00395848,H4MO05234
COBLE FOR CONGRESS,C00198796,H4NC06011
COFFMAN FOR CONGRESS 2012,C00497180,H8CO06138
COLE FOR CONGRESS,C00379735,H2OK04055
COLLINS FOR CONGRESS,C00502039,H2GA09150
COLLINS FOR CONGRESS,C00520379,H8NY29032
COMBE FOR CONGRESS,C00514109,H2UT01201
"COMITE PIERLUISI, INC.",C00435636,H8PR00062
COMMITTEE FOR MARUY BAECHLER FOR CONGRESS,C00520726,H2WA04124
COMMITTEE TO ELECT ALAN GRAYSON,C00424713,H6FL08213
COMMITTEE TO ELECT ANGELA VALLES TO CONGRESSIONAL 8TH DISTRICT,C00504217,H2CA08149
COMMITTEE TO ELECT BRET BALDWIN,C00522912,H2TX27257
COMMITTEE TO ELECT BRIAN DOYLE TO CONGRESS,C00515296,H8SC03062
COMMITTEE TO ELECT CHAMBERLAIN,C00482059,H0AL07177
COMMITTEE TO ELECT CHARLIE SUMMERS,C00517904,S2ME00133
COMMITTEE TO ELECT CHRIS EDES,C00522193,S2NY00309
COMMITTEE TO ELECT CURTIS RAILEY; THE,C00509182,H2AL01192
COMMITTEE TO ELECT DAN DOLAN,C00499707,H2IA02079
COMMITTEE TO ELECT DAN FISHMAN,C00524298,H2MA06078
COMMITTEE TO ELECT DAN SEBRING FOR CONGRESS,C00498170,H0WI04090
COMMITTEE TO ELECT DAVID MILLER FOR CONGRESS,C00479956,H0CA26087
COMMITTEE TO ELECT DON VOLARIC,C00518977,H0MI12127
COMMITTEE TO ELECT DR SHAUN CROWELL FOR US SENATE,C00518589,S2TN00256
COMMITTEE TO ELECT EVELYN MADRID ERHARD,C00503730,H2NM02175
COMMITTEE TO ELECT GARY KING LLC,C00528125,H2LA01075
COMMITTEE TO ELECT J CHRIS VAUGHN,C00521187,H2GA04144
COMMITTEE TO ELECT JACK ARNOLD,C00503656,H2TN07160
COMMITTEE TO ELECT JOHN RUSSELL TO CONGRESS,C00498329,H4FL05032
COMMITTEE TO ELECT JOYCE SEGERS FOR CONGRESS,C00504480,H0OR02093
COMMITTEE TO ELECT KURT HASKELL,C00516989,H2MI07099
COMMITTEE TO ELECT MADELEINE Z. BORDALLO,C00369686,H2GU00033
COMMITTEE TO ELECT MICHELLE LUJAN GRISHAM,C00501254,H8NM01257
COMMITTEE TO ELECT NATHAN SHINAGAWA,C00512905,H2NY22113
COMMITTEE TO ELECT ROBYN HAMLIN,C00523753,H0MO01132
COMMITTEE TO ELECT RON VARASTEH,C00516922,H2CA48095
COMMITTEE TO ELECT SCOTTY BOMAN,C00504274,S8MI00315
"COMMITTEE TO ELECT STEPHEN A. LABATE, INC.",C00473777,H0NY02176
COMMITTEE TO ELECT STEVE WOODS US SENATE,C00520809,S2ME00166
COMMITTEE TO ELECT TED RIGHTS FOR CONGRESS,C00512079,H0MO06156
COMMITTEE TO ELECT TISHA CASIDA TO CONGRESS,C00506188,H2CO03146
COMMITTEE TO RE-ELECT CONGRESSMAN DANA ROHRABACHER,C00224691,H8CA42061
COMMITTEE TO RE-ELECT HENRY HANK JOHNSON,C00418293,H6GA04129
COMMITTEE TO RE-ELECT LINDA SANCHEZ,C00384057,H2CA39078
COMMITTEE TO RE-ELECT LORETTA SANCHEZ,C00326264,H6CA46033
COMMITTEE TO RE-ELECT NYDIA M. VELAZQUEZ TO CONGRESS,C00271312,H2NY00010
COMMITTEE TO RE-ELECT TRENT FRANKS TO CONGRESS,C00367110,H4AZ04024
COMMITTEE TO REELECT CONGRESSMAN CHRIS SMITH,C00096412,H8NJ04014
CONAWAY FOR CONGRESS,C00383828,H4TX19136
CONGRESSMAN BILL YOUNG CAMPAIGN COMMITTEE,C00051227,H6FL06035
CONGRESSMAN WAXMAN CAMPAIGN COMMITTEE,C00013128,H6CA24048
CONNOLLY FOR CONGRESS,C00445452,H8VA11062
CONYERS FOR CONGRESS,C00409797,H6MI01028
COOK FOR CONGRESS,C00509141,H2VA01066
COOLEY FOR CONGRESS 2012,C00522391,H2GA09200
COOLIDGE FOR CONGRESS,C00505610,H2IL06058
COOPER FOR CONGRESS,C00376665,H2TN05131
COTTON FOR CONGRESS,C00499988,H2AR04083
COURTNEY FOR CONGRESS,C00410233,H2CT02112
COURTNEY FOR CONGRESS,C00521245,H2ME01123
COX ALOMAR 2012 INC,C00506212,H2PR00065
COYNE FOR CONGRESS (WILLIAM J COYNE),C00119701,H0PA14039
CRAMER FOR CONGRESS,C00504704,H0ND01026
CRAVAACK FOR CONGRESS CAMPAIGN COMMITTEE,C00475632,H0MN08115
CRAWFORD FOR CONGRESS,C00462374,H0AR01083
CRENSHAW FOR CONGRESS CAMPAIGN,C00352849,H0FL04066
CRIMMINS FOR CONGRESS,C00514802,H8CA53019
CROWLEY FOR CONGRESS,C00338954,H8NY07046
CULBERSON FOR CONGRESS,C00343236,H0TX07055
CUMMINGS 4 CONGRESS,C00532721,H2WY00133
CUMMINGS FOR CONGRESS CAMPAIGN COMMITTEE,C00310318,H6MD07160
CURSON FOR CONGRESS,C00527051,H2MI11190
DALE BRUEGGEMANN FOR CONGRESS,C00497867,H2TX28040
DALE LEHNER CAMPAIGN COMMITTEE,C00512715,H2WI07073
DAN LAMB FOR CONGRESS,C00512699,H2NY22147
DAN LIPINSKI FOR CONGRESS,C00405431,H4IL03077
DAN MATTHEWS FOR CONGRESS,C00514885,H2WA02177
DANIEL BOTELHO FOR CONGRESS,C00522854,H2MA09205
DANIEL ROBERTS FOR CONGRESS,C00502781,H0CA06121
DANIEL WEBSTER FOR CONGRESS,C00481911,H0FL08208
DANNY GRANT FOR CONGRESS,C00523126,H2GA14010
DANNY STROUD FOR CONGRESS,C00510099,H2CO01124
DAUGHERTY FOR CONGRESS,C00506162,H2PA15099
DAVE CAMP FOR CONGRESS,C00347476,H0MI10071
DAVE CROOKS FOR CONGRESS,C00496208,H2IN08094
DAVID HERNANDEZ FOR CONGRESS 2012,C00498683,H2CA28097
DAVID RIVERA FOR CONGRESS,C00477356,H0FL25038
DAVID ROSA FOR CONGRESS,C00507665,H2TX20039
DAVID ROUZER FOR CONGRESS,C00501643,H2NC07096
DAVID SCOTT FOR CONGRESS,C00369801,H2GA13012
DAVIS FOR CONGRESS/FRIENDS OF DAVIS,C00172619,H4IL07037
DEB FISCHER FOR US SENATE INC,C00498907,S2NE00094
DEB MORROW FOR CONGRESS,C00532713,H2SC04105
DEBBIE BACIGALUPI FOR CONGRESS,C00516799,H2CA14139
DEBBIE WASSERMAN SCHULTZ FOR CONGRESS,C00385773,H4FL20023
DEFAZIO FOR CONGRESS,C00215905,H6OR04047
DELBENE FOR CONGRESS,C00459099,H0WA08046
DELINDA MORGAN FOR CONGRESS,C00525154,H2OR01190
DENHAM FOR CONGRESS,C00473272,H0CA19173
DENNIS ANDERSON FOR CONGRESS,C00507459,H2IL14078
DENNY HECK FOR CONGRESS,C00472159,H0WA03161
DEVIN NUNES CAMPAIGN COMMITTEE,C00370056,H8CA20059
DIANA DEGETTE FOR CONGRESS,C00311639,H6CO01141
DIANE BLACK FOR CONGRESS,C00472878,H0TN06257
DIBS FOR CONGRESS,C00454256,H8CA37277
DIETERICH FOR CONGRESS,C00514844,H2NY21099
DILL FOR US SENATE,C00511261,S2ME00083
DJOU FOR HAWAII,C00441451,H0HI01157
DODGE FOR US SENATE,C00494070,S2ME00059
DOGGETT FOR US CONGRESS,C00286500,H4TX10028
DOHENY FOR CONGRESS,C00462853,H0NY23057
DOHERTY FOR CONGRESS,C00496851,H2RI01178
DOLD FOR CONGRESS,C00465971,H0IL10302
DONALD M PAYNE JR FOR CONGRESS,C00519355,H2NJ10154
DONNA BEBO FOR CONGRESS,C00509273,H2OK04139
DONNA CHRISTENSEN CAMPAIGN,C00320754,H4VI00054
DONNA EDWARDS FOR CONGRESS,C00422964,H6MD04183
DONNELLY FOR INDIANA,C00393652,S2IN00091
DOTSON FOR CONGRESS,C00479600,H0VA11085
DOUG LAMALFA COMMITTEE,C00509422,H2CA02142
DOYLE FOR CONGRESS COMMITTEE,C00290064,H4PA18131
DR MARISHA AGANA FOR CONGRESS,C00507491,H2OH13199
DR. RAUL RUIZ FOR CONGRESS 2012 COMMITTEE,C00502575,H2CA36439
DRUMMOND FOR CONGRESS,C00507624,H2FL01209
DUCKWORTH FOR CONGRESS,C00498634,H6IL06141
DUFFY FOR CONGRESS,C00464339,H0WI07051
DUNCAN D. HUNTER FOR CONGRESS,C00433524,H8CA52052
DUNCAN FOR CONGRESS,C00229104,H8TN02069
DUTCH RUPPERSBERGER FOR CONGRESS COMMITTEE,C00376673,H2MD02160
EDDIE BERNICE JOHNSON FOR CONGRESS,C00254573,H2TX00015
EHRLICH FOR CONGRESS,C00510487,H2FL10150
ELAINE HENDERSON FOR CONGRESS DIST 25 TX CAMPAIGN,C00524637,H2TX25269
ELECT BLAKE FARENTHOLD COMMITTEE,C00473736,H0TX27061
ELECT COMRADE BLUMENTHAL TO CONGRESS,C00525014,H0FL20104
ELECT DR. MCKELLAR U.S. CONGRESS,C00506287,H2TX01062
ELECT ELAINE MASTROMATTEO,C00512376,H0OH17186
ELECT JIM EVANS,C00515817,H2MO07093
ELISABETH MOTSINGER FOR CONGRESS,C00508580,H2NC05132
ELIZABETH EMKEN FOR US SENATE,C00505354,S2CA00641
ELIZABETH FOR MA INC,C00500843,S2MA00170
ELLA WARD FOR CONGRESS,C00511832,H2VA04102
ELLISON FOR CONGRESS,C00422410,H6MN05183
ENGEL FOR CONGRESS,C00236513,H8NY19058
ENYART FOR CONGRESS,C00523258,H2IL12122
ERIC BECK FOR CONGRESS INC,C00508754,H2NJ12119
ERIK ANDERSON COMMITTEE,C00513952,H2NC03087
EVELYN LI FOR CONGRESS 2012,C00516955,H2CA17090
EVERGREEN FOR CONGRESS,C00524132,H8NY05081
FAITH LOUDON FOR CONGRESS,C00510669,H2MD04273
FALEOMAVAEGA FOR CONGRESS COMMITTEE,C00231092,H0AS00018
FAMILIES FOR JAMES LANKFORD,C00466482,H0OK05114
FARRIS FOR CONGRESS,C00503524,H2ID01101
FATTAH FOR CONGRESS,C00254441,H2PA02055
FEATHERMAN FOR CONGRESS,C00520882,H8PA01187
FEINSTEIN FOR SENATE,C00315176,S0CA00199
FILEMON VELA FOR CONGRESS,C00513531,H2TX27190
FITZPATRICK FOR CONGRESS,C00475103,H4PA08074
FLACCAVENTO FOR THE 9TH,C00517375,H2VA09077
FLEMING FOR CONGRESS,C00445015,H8LA04225
FLINN FOR CONGRESS,C00474338,H0TN08287
FORBES FOR CONGRESS,C00365692,H2VA04052
FORIEST FOR CONGRESS COMMITTEE,C00515262,H2NC06072
FRANK F BLAS JR. FOR CONGRESS,C00514612,H2GU00066
FRANK SCATURRO FOR CONGRESS,C00465054,H0NY04057
FRED COSTELLO FOR CONGRESS COMMITTEE,C00519017,H2FL06158
FREDERICA S. WILSON FOR CONGRESS,C00460055,H0FL17068
FRELINGHUYSEN FOR CONGRESS,C00299404,H2NJ05014
FRETTSFORCONGRESS,C00505859,H2FL01191
"FRIENDS FOR CHRIS STEWART, INC.",C00506931,H2UT02324
FRIENDS FOR GREGORY MEEKS,C00430991,H8NY06048
FRIENDS FOR JIM MCDERMOTT,C00223073,H8WA07132
FRIENDS OF AMATA,C00393041,H4AS00036
FRIENDS OF ANNA LITTLE,C00512616,H0NJ06164
FRIENDS OF BENNIE THOMPSON,C00279851,H4MS02068
FRIENDS OF BERNIE SANDERS,C00411330,S4VT00033
FRIENDS OF BILL DRISCOLL,C00521468,H2WA06145
FRIENDS OF BILL POSEY,C00444968,H8FL15107
FRIENDS OF BRIAN WOODWORTH,C00511147,H2IL02149
FRIENDS OF CAROLYN MCCARTHY,C00318931,H6NY04112
FRIENDS OF CHARLIE HOLLEY,C00519157,H2AL05094
FRIENDS OF CHARLIE WILSON,C00412015,H6OH06095
FRIENDS OF CHERI BUSTOS,C00498568,H2IL17071
FRIENDS OF CHRIS MURPHY,C00492645,S2CT00132
FRIENDS OF COLIN BEAVAN,C00521351,H2NY08138
FRIENDS OF CONGRESSMAN GEORGE MILLER,C00026757,H6CA07043
FRIENDS OF CONGRESSMAN STEVE STOCKMAN,C00518241,H6TX22143
FRIENDS OF CONNIE MACK,C00391243,S2FL00334
FRIENDS OF CORRINE BROWN,C00272732,H2FL03056
FRIENDS OF CYNTHIA KALLGREN,C00522870,H2MI12156
FRIENDS OF DAN KILDEE,C00499947,H2MI05119
FRIENDS OF DAN MAFFEI,C00417550,H6NY25125
FRIENDS OF DAN SCHWARTZ,C00504936,H2NV04029
FRIENDS OF DAVE JOYCE,C00527457,H2OH14064
FRIENDS OF DAVE REICHERT,C00397737,H4WA08071
FRIENDS OF DAVID GILL,C00498972,H4IL15055
FRIENDS OF DEAN LONGO,C00509604,H2VA03054
FRIENDS OF DENNIS ROSS,C00459461,H0FL12101
FRIENDS OF DOC HASTINGS,C00286856,H2WA04041
FRIENDS OF ELIZABETH ESTY,C00494203,H2CT05131
FRIENDS OF ERIC STEWART,C00507178,H2TN04258
FRIENDS OF ERIK PAULSEN,C00439661,H8MN03077
FRIENDS OF FARR,C00290429,H4CA17021
FRIENDS OF FRANK GUINTA,C00461350,H0NH01217
FRIENDS OF FRANK MIRABILE,C00485573,H0MD07072
FRIENDS OF FRANK WOLF,C00166017,H6VA10050
FRIENDS OF GARY DELONG,C00500074,H2CA47105
FRIENDS OF GLENN THOMPSON,C00444620,H8PA05071
FRIENDS OF JACK KINGSTON,C00261958,H2GA01157
FRIENDS OF JAMES ROACH,C00471177,H0FL14065
FRIENDS OF JARED POLIS COMMITTEE,C00435370,H8CO02137
FRIENDS OF JASON CHAFFETZ,C00431684,H8UT03089
FRIENDS OF JASON HOWELL,C00514232,H2VA08129
FRIENDS OF JEB HENSARLING,C00370650,H2TX05121
FRIENDS OF JEFF KAZANOW,C00522284,H2GA06115
FRIENDS OF JIM BRIDENSTINE INC,C00502393,H2OK01143
FRIENDS OF JIM CLYBURN,C00255562,H2SC02042
FRIENDS OF JIM MARSHALL,C00347716,H0GA08032
FRIENDS OF JIM SCHNELLER FOR CONGRESS COMMITTEE,C00477182,H0PA07116
FRIENDS OF JOE BACA,C00325449,H6CA42099
FRIENDS OF JOE HECK,C00468421,H0NV03058
FRIENDS OF JOE PITTS,C00310136,H6PA16197
FRIENDS OF JOHN ARVANITES,C00520346,H2NJ11111
FRIENDS OF JOHN BARRASSO,C00436386,S6WY00068
FRIENDS OF JOHN BARROW,C00384735,H4GA12010
FRIENDS OF JOHN BOEHNER,C00237198,H0OH08029
FRIENDS OF JOHN DELANEY,C00508416,H2MD06195
FRIENDS OF JOHN SARBANES,C00415182,H6MD03292
FRIENDS OF JOSEPH MCLAUGHLIN FOR CONGRESS,C00521476,H2NY16057
FRIENDS OF JULIAN SCHREIBMAN,C00513739,H2NY00051
FRIENDS OF LAUREEN CUMMINGS,C00518423,H2PA17087
FRIENDS OF LIBERTY FOR JESSICA,C00473710,H0TX27053
FRIENDS OF LOIS CAPPS,C00331389,H8CA22089
FRIENDS OF MARIA,C00349506,S8WA00194
FRIENDS OF MAZIE HIRONO,S2HI00106,S2HI00106
FRIENDS OF MIA LOVE,C00505776,H2UT04023
FRIENDS OF NAN HAYWORTH,C00466490,H0NY19139
FRIENDS OF PATRICK MURPHY,C00493825,H2FL22072
FRIENDS OF PETE GALLEGO,C00501908,H2TX23124
FRIENDS OF RICH NUGENT,C00482281,H0FL05139
FRIENDS OF RORABACK,C00524991,
FRIENDS OF ROSA DELAURO,C00238865,H0CT03072
FRIENDS OF SAM JOHNSON,C00250720,H2TX03118
FRIENDS OF SCOTT DESJARLAIS,C00464073,H0TN04195
FRIENDS OF SHERROD BROWN,C00264697,S6OH00163
FRIENDS OF SUSAN BROOKS,C00500207,H2IN05082
FRIENDS OF TIM DIXON,C00523928,H2TN08127
"FRIENDS OF TODD YOUNG, INC.",C00459255,H0IN09070
"FRIENDS OF TREY RADEL, INC.",C00510768,H2FL14194
FROELICH FOR CONGRESS,C00516658,H2NJ04165
FRYE FOR CONGRESS,C00509760,H2IN07104
GARAMENDI FOR CONGRESS,C00462697,H0CA10149
GARDNER FOR CONGRESS 2012,C00492454,H0CO04122
GARY MILLER FOR CONGRESS,C00331496,H8CA41063
GENE GREEN CONGRESSIONAL CAMPAIGN,C00254185,H2TX29030
GENE JEFFRESS FOR CONGRESS,C00504894,H2AR04109
GENE SCHARER FOR CONGRESS '12,C00518381,H0AZ03248
GENE STILP FOR CONGRESS,C00509653,H6PA17120
GEORGE ALLEN FOR US SENATE,C00492462,S8VA00214
GEORGE HOLDING FOR CONGRESS,C00499236,H2NC13110
GEORGE KRAIL FOR CONGRESS,C00531707,H2IA01071
GIBBS FOR CONGRESS,C00466516,H0OH18077
GILLAN FOR CONGRESS,C00497776,H2MT00047
GILLIBRAND FOR SENATE,C00413914,S0NY00410
"GINGREY FOR CONGRESS, INC.",C00370783,H2GA11149
GLORIA BROMELL TINUBU FOR CONGRESS,C00508242,H2SC07108
GLORIA NEGRETE MCLEOD FOR CONGRESS,C00502534,H2CA35118
GOODWIN FOR CONGRESS 2012,C00502567,H0CA19132
GRACE FOR NEW YORK,C00516666,H2NY06116
GRAF FOR CONGRESS,C00477885,H0WV02153
GRANNIS FOR CONGRESS,C00527689,H0MD08138
GRAVES FOR CONGRESS,C00359034,H0MO06073
GRAVES FOR CONGRESS,C00462556,H0GA09030
GREGG HARPER FOR CONGRESS,C00441295,H8MS03067
GUERRA FOR CONGRESS,C00516096,H2AZ03145
GUILD FOR CONGRESS,C00506121,H0OK05155
GUTHRIE FOR CONGRESS,C00445023,H8KY02031
GUTIERREZ FOR CONGRESS,C00254581,H2IL08039
HAL ROGERS FOR CONGRESS,C00116632,H0KY05015
"HALL FOR CONGRESS COMMITTEE (RALPH HALL - ROCKWALL, TEXAS)",C00120683,H0TX04037
